phase_group,current,gene,clone,subunit,source,Normal_log2cpm,HF_log2cpm,logFC,FDR,direction_HFvsN
Phase 0,INa,SCN10A,Nav1.8,alpha,added,-0.424173925,-0.36257313,0.061600795,0.940347605,Up
Phase 0,INa,SCN1B,Nav-beta1,beta,added,0.062091795,-0.61459099,-0.676682785,0.43129234,Down
Phase 0,INa,SCN5A,Nav1.5,alpha,AHA,-0.17635313,-0.530951739,-0.354598609,0.711277745,Down
Phase 0,INa (beta),SCN2B,Nav-beta2,beta,added,-0.515817491,0.874738724,1.390556215,0.089834166,Up
Phase 0,INa (beta),SCN3B,Nav-beta3,beta,added,-0.863437919,0.177037562,1.040475481,0.15752819,Up
Phase 0,INa (beta),SCN4B,Nav-beta4,beta,added,0.193400556,0.315452716,0.12205216,0.903347314,Up
Phase 0,INa-like,SCN11A,Nav1.9,alpha,added,-0.496231772,0.782945356,1.279177127,0.16859016,Up
Phase 0,INa-like,SCN8A,Nav1.6,alpha,added,-0.249662128,0.686069741,0.935731869,0.356044298,Up
Phase 1,IKur,KCNA5,Kv1.5,alpha,AHA,-0.375252695,0.926499201,1.301751896,0.106730283,Up
Phase 1,IKur,KCNC1,Kv3.1,alpha,AHA,0.14579755,-0.01058947,-0.15638702,0.878814739,Down
Phase 1,IKur (accessory),KCNAB1,Kvβ1,beta,Amin 2010,-0.219441807,0.616106918,0.835548725,0.445498606,Up
Phase 1,IKur (accessory),KCNAB2,Kvβ2,beta,Amin 2010,-0.114371591,-0.020411389,0.093960201,0.93399625,Up
Phase 1,"Ito,f",KCND2,Kv4.2,alpha,AHA,0.05458483,0.3958596,0.34127477,0.730995096,Up
Phase 1,"Ito,f",KCND3,Kv4.3,alpha,AHA,0.598722726,-0.990209677,-1.588932403,0.021274717,Down
Phase 1,IKATP,KCNJ11,Kir6.2,alpha,AHA,0.605154201,-0.56507654,-1.170230741,0.149825613,Down
Phase 1,"Ito,s",KCNA4,Kv1.4,alpha,AHA,-0.521843915,0.540067623,1.061911538,0.291817031,Up
Phase 1,"Ito,s",KCNA7,Kv1.7,alpha,AHA,-0.033769938,0.095018589,0.128788526,0.914219661,Up
Phase 1,"Ito,s",KCNC4,Kv3.4,alpha,AHA,-0.257482576,1.021550393,1.279032969,0.12113579,Up
Phase 1,"Ito,f (accessory)",DPP10,DPPY,accessory,added,-0.031277239,-0.044469787,-0.013192548,0.99147835,Down
